job_id,job_title,company,description,required_skills
J001,Junior Data Analyst,InsightWorks,"Analyze business datasets, prepare reports, build Power BI dashboards, write SQL queries and use Excel for data cleaning and reporting.",SQL;Python;Power BI;Excel;Statistics;Data Visualization
J002,Data Analyst,DataBridge Solutions,"Support data-driven decision making by analyzing datasets with Python and SQL, creating dashboards in Tableau, and presenting insights to stakeholders.",Python;SQL;Tableau;Data Visualization;Statistics;Communication
J003,Business Intelligence Analyst,MarketEdge,"Develop business intelligence dashboards using Power BI and Excel, write SQL queries, monitor KPIs, and communicate findings to business teams.",Power BI;SQL;Excel;Data Visualization;Communication;Business Analysis
J004,Entry-Level Data Scientist,Analytica Labs,"Assist with machine learning projects, preprocess data using Pandas and NumPy, perform statistical analysis, and build predictive models in Python.",Python;Pandas;NumPy;Machine Learning;Statistics;SQL
J005,Reporting Analyst,FinanceCore,"Prepare recurring business reports, analyze financial data using Excel and SQL, create Power BI visualizations, and identify performance trends.",Excel;SQL;Power BI;Statistics;Data Visualization
J006,Marketing Data Analyst,GrowthMetrics,"Analyze campaign performance, customer behavior and marketing KPIs using Python, SQL and Tableau, and communicate actionable insights.",Python;SQL;Tableau;Statistics;Communication;Data Visualization
J007,Graduate Data Analyst,TechNova,"Work with large datasets, clean and transform data with Python and Pandas, query databases using SQL, and develop analytical dashboards.",Python;Pandas;SQL;Power BI;Data Visualization
J008,Operations Analyst,SupplyChainPro,"Analyze operational performance, create Excel reports, monitor KPIs, use SQL for data extraction, and recommend process improvements.",Excel;SQL;Power BI;Communication;Business Analysis
J009,Data Visualization Analyst,VisualIQ,"Design interactive Tableau and Power BI dashboards, transform raw data into meaningful visualizations, and communicate analytical findings.",Tableau;Power BI;Data Visualization;SQL;Communication
J010,Junior Business Analyst,NextGen Consulting,"Gather business requirements, analyze datasets, prepare Excel and Power BI reports, and communicate insights clearly to stakeholders.",Excel;Power BI;SQL;Communication;Business Analysis;Statistics
