category,skills
Programming,Python;R;Java;C++;C#
Database,SQL;MySQL;PostgreSQL;MongoDB
Data Analysis,Excel;Data Cleaning;Pandas
Visualization,Power BI;Tableau;Matplotlib;Plotly;Data Visualization
Data Science,Pandas;NumPy;Scikit-learn
Machine Learning,Machine Learning;Regression;Classification;Clustering
Statistics,Statistics;Probability;Hypothesis Testing
Developer Tools,Git;GitHub;Jupyter;VS Code
Soft Skills,Communication;Presentation;Problem Solving;Teamwork
Business,Business Analysis;Requirements Analysis;KPI Analysis
